"school_dbn","mean_algebra2","mean_english","school_name","percent_of_teachers_with_3_or_more_years_of_experience","percent_of_students_chronically_absent","rigorous_instruction_percent_positive","supportive_environment_percent_positive","economic_need_index"
"08X320",55.89189148,58.30147171,"Pelham Lab High School",0.514,0.539,0.71,0.66,0.823
"08X348",46.20000076,63.86923218,"Schuylerville Preparatory High School",0.821,0.444,0.68,0.58,0.78
"08X349",63.1428566,66.43859863,"Bronx River High School",0.606,0.566,0.77,0.72,0.867
"08X405",66.24137878,62.92549133,"Herbert H. Lehman High School",0.719,0.405,0.74,0.65,0.777
"08X432",72.63636017,55.22463608,"Bronx Bridges High School",0.419,0.521,0.76,0.74,0.972
"08X452",51.70175552,56.25946045,"Gotham Collaborative High School",0.714,0.573,0.76,0.66,0.907
"08X558",65.2857132,73.13414764,"Westchester Square Academy",0.432,0.504,0.62,0.56,0.737
"08X561",55.86111069,63.44643021,"Bronx Compass High School",0.571,0.6,0.61,0.59,0.839
"09X227",66.15625,57.9944458,"Bronx Collegiate Academy",0.821,0.451,0.88,0.76,0.928
"09X250",57.42647171,67.1553421,"Eximius College Preparatory Academy: A College Boa",0.8,0.412,0.88,0.79,0.859
"09X252",54.29032135,74.00952148,"Mott Hall Bronx High School",0.5,0.431,0.72,0.69,0.89
"09X260",70.54216766,83.13513184,"Bronx Center for Science and Mathematics",0.833,0.261,0.86,0.81,0.842
"09X297",68.69999695,66.45918274,"Morris Academy for Collaborative Studies",0.694,0.423,0.88,0.8,0.909
"09X329",54.5,62.52000046,"DreamYard Preparatory School",0.591,0.409,0.9,0.76,0.927
"09X365",65,62.28409195,"Academy for Language and Technology",0.269,0.45,0.86,0.87,0.975
"09X517",54.81818008,58.46629333,"Frederick Douglass Academy III Secondary School",0.6,0.689,0.84,0.79,0.928
"09X525",43.18333435,55.31443405,"Bronx Leadership Academy High School",0.5,0.572,0.71,0.66,0.925
"10X213",51.04761887,67.25,"Bronx Engineering and Technology Academy",0.897,0.545,0.79,0.64,0.877
"10X237",55.86206818,60.7555542,"The Marie Curie School for Medicine, Nursing, and",0.778,0.484,0.7,0.62,0.871
"10X268",72.15000153,47.83809662,"Kingsbridge International High School",0.808,0.415,0.8,0.69,0.986
